TrackerID,FMSID,Title,Summary,CurrentPhase,DesignPercentComplete,ProcurementPercentComplete,ConstructionPercentComplete,DesignStart,DesignProjectedCompletion,DesignAdjustedCompletion,DesignActualCompletion,ProcurementStart,ProcurementProjectedCompletion,ProcurementAdjustedCompletion,ProcurementActualCompletion,ConstructionStart,ConstructionProjectedCompletion,ConstructionAdjustedCompletion,ConstructionActualCompletion,TotalFunding,ProjectLiaison,LastUpdated,FundingSource,name,ParkID,Latitude,Longitude,Borough
"4,105",846 P-208LINC,Lincoln Terrace Park Tennis Courts Reconstruction,This project will reconstruct the tennis courts in Lincoln Terrace Park.,completed,100,100,100,09/01/2010 12:00:00 AM,02/01/2012 12:00:00 AM,,03/01/2012 12:00:00 AM,03/01/2012 12:00:00 AM,12/01/2012 12:00:00 AM,,10/01/2012 12:00:00 AM,11/01/2012 12:00:00 AM,11/01/2013 12:00:00 AM,11/01/2013 12:00:00 AM,11/01/2013 12:00:00 AM,"$1,365,000",Davey Ives,12/20/2021 12:00:00 AM,City Council,"Buffalo Avenue, East New York Avenue, Portal Street, Eastern Parkway",B054,40.667015,-73.925266,Brooklyn
"6,208",846 P-2PLG14B,Lincoln Terrace Park Netball Court and Seth Low Playground Athletic Court Reconstruction,"This project will reconstruct the netball and handball courts at Lincoln Terrace Park and the perimeter paths, basketball and handball courts at Seth Low Playground.",completed,100,100,100,08/01/2013 12:00:00 AM,11/01/2013 12:00:00 AM,,06/01/2014 12:00:00 AM,06/01/2014 12:00:00 AM,03/01/2015 12:00:00 AM,07/01/2015 12:00:00 AM,06/01/2015 12:00:00 AM,08/01/2015 12:00:00 AM,08/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,08/01/2016 12:00:00 AM,"$2,361,000",Davey Ives,12/20/2021 12:00:00 AM,"Mayoral, Borough President, City Council","Eastern Parkway, East New York Avenue between Rochester Avenue and Portal Street",B054,40.666413,-73.927181,Brooklyn
"6,208",846 P-2PLG14B,Lincoln Terrace Park Netball Court and Seth Low Playground Athletic Court Reconstruction,"This project will reconstruct the netball and handball courts at Lincoln Terrace Park and the perimeter paths, basketball and handball courts at Seth Low Playground.",completed,100,100,100,08/01/2013 12:00:00 AM,11/01/2013 12:00:00 AM,,06/01/2014 12:00:00 AM,06/01/2014 12:00:00 AM,03/01/2015 12:00:00 AM,07/01/2015 12:00:00 AM,06/01/2015 12:00:00 AM,08/01/2015 12:00:00 AM,08/01/2016 12:00:00 AM,09/01/2016 12:00:00 AM,08/01/2016 12:00:00 AM,"$2,361,000",Davey Ives,12/20/2021 12:00:00 AM,"Mayoral, Borough President, City Council","Avenue P, Bay Parkway, West 12 Street",B100,40.607835,-73.985947,Brooklyn
"9,218",846 P-208LIN2,Lincoln Terrace Park Pavement Reconstruction,This project will reconstruct path pavements and seating areas in Lincoln Terrace Park.,procurement,100,85,0,09/01/2018 12:00:00 AM,09/01/2019 12:00:00 AM,10/01/2019 12:00:00 AM,10/01/2019 12:00:00 AM,10/01/2019 12:00:00 AM,07/01/2020 12:00:00 AM,02/01/2022 12:00:00 AM,,,,,,Between $3 million and $5 million,Davey Ives,12/20/2021 12:00:00 AM,Mayoral,"Eastern Parkway, Rochester Avenue, East New York Avenue, Portal Street",B054,40.666833,-73.927303,Brooklyn
"7,359",846 P-208LTPG,Lincoln Terrace Park Playground Reconstruction,"This project will reconstruct the playground at Lincoln Terrace Park, including play equipment for 2-5 and 5-12 years old, swings, spray shower, a seating area for general public, benches, lighting, fencing, drainage, water supply systems and plantings.",completed,100,100,100,12/01/2015 12:00:00 AM,12/01/2016 12:00:00 AM,02/01/2017 12:00:00 AM,03/01/2017 12:00:00 AM,03/01/2017 12:00:00 AM,12/01/2017 12:00:00 AM,03/01/2018 12:00:00 AM,02/01/2018 12:00:00 AM,03/01/2018 12:00:00 AM,03/01/2019 12:00:00 AM,,01/01/2019 12:00:00 AM,"$4,039,000",Davey Ives,12/20/2021 12:00:00 AM,"Mayoral, Borough President, City Council",Rochester Avenue between President Street and Carroll Street,B054,40.666407,-73.928015,Brooklyn
"7,028",846 P-208LTCS,Lincoln Terrace Park Comfort Station Construction,This project will demolish the existing comfort station and construct a new comfort station in Lincoln Terrace Park.,procurement,100,40,0,04/01/2015 12:00:00 AM,01/01/2016 12:00:00 AM,03/01/2020 12:00:00 AM,04/01/2020 12:00:00 AM,04/01/2020 12:00:00 AM,01/01/2021 12:00:00 AM,,,,,,,Between $3 million and $5 million,Davey Ives,12/20/2021 12:00:00 AM,"Mayoral, City Council",South of Eastern Parkway between Rochester and Buffalo Avenues,B054,40.66675417,-73.92725361,Brooklyn
"8,562",846 P-2LINDTF,Linden Park Synthetic Turf Field and Rubberized Track Reconstruction,This project will reconstruct the existing synthetic turf field and running track and construct new drinking fountains and sports field spray misters in Linden Park.,completed,100,100,100,10/01/2016 12:00:00 AM,10/01/2017 12:00:00 AM,11/01/2017 12:00:00 AM,12/01/2017 12:00:00 AM,12/01/2017 12:00:00 AM,08/01/2018 12:00:00 AM,,07/01/2018 12:00:00 AM,10/01/2018 12:00:00 AM,10/01/2019 12:00:00 AM,,10/01/2019 12:00:00 AM,"$3,784,000",Davey Ives,12/20/2021 12:00:00 AM,"Mayoral, City Council",Linden Boulevard and Vermont Street,B214,40.659112,-73.887871,Brooklyn
"9,561",846 P-205LIN1,Linden Park Playground Reconstruction,This project will reconstruct the playground at Linden Park.,procurement,100,5,0,10/01/2020 12:00:00 AM,10/01/2021 12:00:00 AM,,11/01/2021 12:00:00 AM,11/01/2021 12:00:00 AM,08/01/2022 12:00:00 AM,,,,,,,Between $3 million and $5 million,Davey Ives,12/20/2021 12:00:00 AM,City Council,"Linden Boulevard, Miller Avenue, Stanley Avenue, Vermont Street",B214,40.6581277324,-73.887627697522,Brooklyn
"9,606",846 P-205LIN2,Linden Park Multipurpose Play Area Reconstruction,This project will reconstruct the multipurpose play area at Linden Park.,procurement,100,5,0,10/01/2020 12:00:00 AM,10/01/2021 12:00:00 AM,,11/01/2021 12:00:00 AM,11/01/2021 12:00:00 AM,08/01/2022 12:00:00 AM,,,,,,,Between $3 million and $5 million,Davey Ives,12/20/2021 12:00:00 AM,City Council,"Linden Boulevard, Miller Avenue, Stanley Avenue, Vermont Street",B214,40.659172608411,-73.885783095618,Brooklyn
"7,006",846 P-205LIND,Linden Park Adult Fitness Area Construction,This project will construct and adult fitness area and install fitness equipment at Linden Park.,completed,100,100,100,07/01/2013 12:00:00 AM,12/01/2014 12:00:00 AM,02/01/2015 12:00:00 AM,03/01/2015 12:00:00 AM,03/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,01/01/2016 12:00:00 AM,03/01/2016 12:00:00 AM,03/01/2017 12:00:00 AM,,10/01/2016 12:00:00 AM,"$280,000",Davey Ives,12/20/2021 12:00:00 AM,"Mayoral, City Council",Vermont Street and Stanley Avenue,B214,40.6589525,-73.88699861,Brooklyn
"5,967",846 P-218LIND,Lindower Park Ballfield Reconstruction,This project will reconstruct the natural turf ballfields in Lindower Park.,completed,100,100,100,11/01/2012 12:00:00 AM,11/01/2013 12:00:00 AM,08/01/2014 12:00:00 AM,08/01/2014 12:00:00 AM,08/01/2014 12:00:00 AM,05/01/2015 12:00:00 AM,,05/01/2015 12:00:00 AM,06/01/2015 12:00:00 AM,06/01/2016 12:00:00 AM,,12/01/2015 12:00:00 AM,"$1,640,000",Davey Ives,12/20/2021 12:00:00 AM,"Borough President, City Council","Strickland Avenue, East 60th Street and Mill Avenue, Brooklyn",B329,40.61210194,-73.91152111,Brooklyn
"9,217",846 P-205LION,Lion's Pride Playground Reconstruction,This project will reconstruct Lion's Pride Playground.,procurement,100,85,0,08/01/2018 12:00:00 AM,08/01/2019 12:00:00 AM,11/01/2019 12:00:00 AM,11/01/2019 12:00:00 AM,11/01/2019 12:00:00 AM,08/01/2020 12:00:00 AM,02/01/2022 12:00:00 AM,,,,,,Between $3 million and $5 million,Davey Ives,12/20/2021 12:00:00 AM,"Mayoral, City Council","Van Sinderen Avenue, Riverdale Avenue, Snediker Avenue",B107,40.66273,-73.899541,Brooklyn
